1936	1	206
1937	2	253
1938	3	254
1939	4	252
1940	5	252
1941	6	253
1942	7	255
1943	8	260
1944	9	260
1945	10	253
1946	11	253
1947	12	254
1948	13	255
1949	14	252
1950	15	253
1951	16	251
1952	17	253
1953	18	254
1954	19	253
1955	20	254
1956	21	251
1957	22	252
1958	23	253
1959	24	254
1960	25	254
1961	26	251
1962	27	251
1963	28	252
1964	29	254
1965	30	252
1966	31	253
1967	32	252
1968	33	253
1969	34	249
1970	35	253
1971	36	252
1972	37	252
1973	38	248
1974	39	252
1975	40	251
1976	41	252
1977	42	251
1978	43	251
1979	44	251
1980	45	252
1981	46	251
1982	47	251
1983	48	252
1984	49	252
1985	50	251
1986	51	250
1987	52	251
1988	53	251
1989	54	249
1990	55	251
1991	56	251
1992	57	252
1993	58	249
1994	59	250
1995	60	250
1996	61	252
1997	62	250
1998	63	251
1999	64	250
2000	65	251
2001	66	250
2002	67	251
2003	68	250
2004	69	250
2005	70	250
2006	71	250
2007	72	249
2008	73	251
2009	74	250
2010	75	250
2011	76	251
2012	77	250
2013	78	251
2014	79	250
2015	80	251
